"Date","Price","Open","High","Low","Change %"
"Aug 22, 2017","-0.716","-0.710","-0.702","-0.726","-0.14%"
"Aug 21, 2017","-0.717","-0.695","-0.693","-0.719","1.70%"
"Aug 18, 2017","-0.705","-0.699","-0.696","-0.718","0.57%"
"Aug 17, 2017","-0.701","-0.716","-0.688","-0.726","-1.41%"
"Aug 16, 2017","-0.711","-0.708","-0.689","-0.728","0.14%"
"Aug 15, 2017","-0.710","-0.704","-0.691","-0.727","-0.98%"
"Aug 14, 2017","-0.717","-0.707","-0.698","-0.731","-0.28%"
"Aug 12, 2017","-0.719","-0.719","-0.719","-0.719","0.56%"
"Aug 11, 2017","-0.715","-0.709","-0.687","-0.730","3.77%"
"Aug 10, 2017","-0.689","-0.692","-0.673","-0.708","0.29%"
"Aug 09, 2017","-0.687","-0.678","-0.663","-0.699","3.93%"
"Aug 08, 2017","-0.661","-0.676","-0.659","-0.682","-3.08%"
"Aug 07, 2017","-0.682","-0.676","-0.656","-0.692","-0.29%"
"Aug 06, 2017","-0.684","-0.684","-0.684","-0.684","0.00%"
"Aug 04, 2017","-0.684","-0.686","-0.664","-0.691","0.44%"
"Aug 03, 2017","-0.681","-0.681","-0.669","-0.697","-1.30%"
"Aug 02, 2017","-0.690","-0.702","-0.683","-0.706","-1.85%"
"Aug 01, 2017","-0.703","-0.676","-0.654","-0.707","3.38%"
"Jul 31, 2017","-0.680","-0.680","-0.658","-0.706","-0.73%"
"Jul 28, 2017","-0.685","-0.694","-0.636","-0.699","1.03%"
"Jul 27, 2017","-0.678","-0.661","-0.646","-0.698","2.26%"
"Jul 26, 2017","-0.663","-0.651","-0.638","-0.685","2.31%"
"Jul 25, 2017","-0.648","-0.660","-0.632","-0.679","-1.07%"
"Jul 24, 2017","-0.655","-0.643","-0.626","-0.678","2.66%"
"Jul 21, 2017","-0.638","-0.661","-0.619","-0.672","-0.62%"
"Jul 20, 2017","-0.642","-0.643","-0.625","-0.670","0.78%"
"Jul 19, 2017","-0.637","-0.634","-0.623","-0.657","-0.16%"
"Jul 18, 2017","-0.638","-0.624","-0.610","-0.651","3.07%"
"Jul 17, 2017","-0.619","-0.603","-0.597","-0.640","0.98%"
"Jul 16, 2017","-0.613","-0.613","-0.613","-0.613","0.49%"
"Jul 14, 2017","-0.610","-0.606","-0.604","-0.649","0.16%"
"Jul 13, 2017","-0.609","-0.623","-0.602","-0.648","-1.14%"
"Jul 12, 2017","-0.616","-0.609","-0.593","-0.630","1.15%"
"Jul 11, 2017","-0.609","-0.601","-0.585","-0.619","-0.65%"
"Jul 10, 2017","-0.613","-0.598","-0.582","-0.634","3.37%"
"Jul 08, 2017","-0.593","-0.593","-0.593","-0.593","-0.50%"
"Jul 07, 2017","-0.596","-0.582","-0.573","-0.623","3.11%"
"Jul 06, 2017","-0.578","-0.606","-0.569","-0.617","-3.83%"
"Jul 05, 2017","-0.601","-0.609","-0.581","-0.624","-0.99%"
"Jul 04, 2017","-0.607","-0.608","-0.583","-0.623","3.94%"
"Jul 03, 2017","-0.584","-0.573","-0.562","-0.612","2.28%"
"Jul 02, 2017","-0.571","-0.571","-0.571","-0.571","0.00%"
"Jul 01, 2017","-0.571","-0.571","-0.571","-0.571","-0.35%"
"Jun 30, 2017","-0.573","-0.591","-0.543","-0.601","1.96%"
"Jun 29, 2017","-0.562","-0.564","-0.553","-0.605","-1.58%"
"Jun 28, 2017","-0.571","-0.555","-0.533","-0.623","5.35%"
"Jun 27, 2017","-0.542","-0.616","-0.542","-0.647","-12.30%"
"Jun 26, 2017","-0.618","-0.610","-0.596","-0.661","1.31%"
"Jun 25, 2017","-0.610","-0.610","-0.610","-0.610","-1.77%"
"Jun 23, 2017","-0.621","-0.626","-0.595","-0.655","-1.27%"
"Jun 22, 2017","-0.629","-0.636","-0.595","-0.669","0.00%"
"Jun 21, 2017","-0.629","-0.677","-0.617","-0.687","-2.63%"
"Jun 20, 2017","-0.646","-0.649","-0.626","-0.691","-0.77%"
"Jun 19, 2017","-0.651","-0.645","-0.630","-0.689","-1.21%"
"Jun 17, 2017","-0.659","-0.659","-0.659","-0.659","0.00%"
"Jun 16, 2017","-0.659","-0.634","-0.614","-0.689","1.38%"
"Jun 15, 2017","-0.650","-0.673","-0.623","-0.686","-5.52%"
"Jun 14, 2017","-0.688","-0.702","-0.670","-0.729","-1.85%"
"Jun 13, 2017","-0.701","-0.743","-0.694","-0.743","-2.91%"
